"Id","658342e59700bdb5e7119b4b","658342e59700bdb5e7119b45","658342e59700bdb5e7119b47","658342e59700bdb5e7119b49","658c8e423bcbd8a985918ad0"
"Timestamp","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/Battery Voltage","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/Crack Displacement","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/Crack.X","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/Crack.Y","dayt13/Digital Test Bed/(B)Location (1A36F8)/JTS File Source/RSSI"
"Units","","","","",""
2023-12-28 16:05:52,,-10.8,-1.4,-10.8,-69
2023-12-28 16:20:52,3.3,-10.8,-1.4,-10.8,-70
2023-12-28 17:20:51,3.3,-10.9,-1.4,-10.9,-72
2023-12-28 18:35:50,,-10.9,-1.4,-10.9,-69
2023-12-28 19:35:50,,-10.8,-1.4,-10.8,-70
2023-12-28 20:20:49,3.3,-10.9,-1.4,-10.9,-70
2023-12-28 20:50:49,3.3,-10.8,-1.4,-10.8,-68
2023-12-28 21:50:48,3.3,-10.8,-1.4,-10.8,-51
2023-12-28 23:50:47,3.3,-10.8,-1.4,-10.8,-70
2023-12-29 00:05:47,,-10.8,-1.4,-10.8,-49
2023-12-29 01:05:46,,-10.8,-1.4,-10.8,-70
2023-12-29 01:50:46,3.3,-10.8,-1.4,-10.8,-71
2023-12-29 02:20:46,3.3,-10.8,-1.4,-10.8,-68
2023-12-29 03:05:45,,-10.9,-1.4,-10.9,-57
2023-12-29 03:20:45,3.3,-10.8,-1.4,-10.8,-69
2023-12-29 03:35:45,,-10.8,-1.4,-10.8,-69
2023-12-29 04:20:44,3.3,-10.9,-1.4,-10.9,-70
2023-12-29 04:50:44,3.3,-10.8,-1.4,-10.8,-69
2023-12-29 05:35:44,,-10.9,-1.4,-10.9,-70
2023-12-29 06:05:43,,-10.8,-1.4,-10.8,-58
2023-12-29 06:20:43,3.3,-10.8,-1.4,-10.8,-50
2023-12-29 06:35:43,,-10.8,-1.4,-10.8,-59
2023-12-29 07:05:43,,-10.8,-1.4,-10.8,-53
2023-12-29 07:35:42,,-10.9,-1.4,-10.9,-52
2023-12-29 07:50:42,3.3,-10.8,-1.4,-10.8,-64
2023-12-29 09:20:41,3.3,-10.9,-1.4,-10.9,-53
2023-12-29 09:35:41,,-10.9,-1.4,-10.9,-70
2023-12-29 12:50:39,3.3,-10.8,-1.4,-10.8,-72
2023-12-29 13:35:39,,-10.8,-1.4,-10.8,-70
2023-12-29 14:20:39,3.3,-10.8,-1.4,-10.8,-59
2023-12-29 15:20:38,3.3,-10.8,-1.4,-10.8,-71
2023-12-29 16:35:37,,-10.9,-1.4,-10.9,-69
2023-12-29 16:50:37,3.3,-10.8,-1.4,-10.8,-71
2023-12-29 17:35:37,,-10.9,-1.4,-10.9,-70
2023-12-29 18:20:36,3.3,-10.9,-1.4,-10.9,-69
2023-12-29 19:05:36,,-10.9,-1.4,-10.9,-69
2023-12-29 19:35:35,,-10.9,-1.4,-10.9,-70
2023-12-29 20:05:35,,-10.8,-1.4,-10.8,-51
2023-12-29 21:05:35,,-10.9,-1.4,-10.9,-70
2023-12-29 21:20:34,3.3,-10.8,-1.4,-10.8,-71
2023-12-29 22:35:34,,-10.9,-1.4,-10.9,-70
2023-12-30 00:05:33,,-10.8,-1.4,-10.8,-70
2023-12-30 00:20:33,3.3,-10.8,-1.4,-10.8,-66
2023-12-30 01:50:32,3.3,-10.9,-1.4,-10.9,-71
